Completed Requests,Time Taken (seconds),Errors
100,726.322,2
200,779.271,3
300,739.989,0
400,744.535,0
500,755.575,0
600,744.141,0
700,817.132,1
800,836.323,4
900,791.51,1
1000,807.765,1
